Mach,Alpha,CD,CD Power-Off,CD Power-On
0.00,0,1.236435,1.236354701,1.216545279
0.01,0,1.236354701,1.236354701,1.216545279
0.02,0,1.231948308,1.231948308,1.212138886
0.03,0,1.231859102,1.231859102,1.21204968
0.04,0,1.231823166,1.231823166,1.212013744
0.05,0,1.231201639,1.231201639,1.211392217
0.06,0,1.229686325,1.229686325,1.209876902
0.07,0,1.228224872,1.228224872,1.20841545
0.08,0,1.22681745,1.22681745,1.207008028
0.09,0,1.225464613,1.225464613,1.205655191
0.1,0,1.22416663,1.22416663,1.204357207
0.11,0,1.222923969,1.222923969,1.203114547
0.12,0,1.221737186,1.221737186,1.201927764
0.13,0,1.220606849,1.220606849,1.200797426
0.14,0,1.219533555,1.219533555,1.199724133
0.15,0,1.218517975,1.218517975,1.198708553
0.16,0,1.217560989,1.217560989,1.197751567
0.17,0,1.216663184,1.216663184,1.196853762
0.18,0,1.215825641,1.215825641,1.196016219
0.19,0,1.215049115,1.215049115,1.195239693
0.2,0,1.21433473,1.21433473,1.194525308
0.21,0,1.213683474,1.213683474,1.193874052
0.22,0,1.213096631,1.213096631,1.193287209
0.23,0,1.212575416,1.212575416,1.192765994
0.24,0,1.21256285,1.21256285,1.192753428
0.25,0,1.213762887,1.213762887,1.193953464
0.26,0,1.21507232,1.21507232,1.195262898
0.27,0,1.216453069,1.216453069,1.196643647
0.28,0,1.217906825,1.217906825,1.198097403
0.29,0,1.219435393,1.219435393,1.19962597
0.3,0,1.221040763,1.221040763,1.201231341
0.31,0,1.222724838,1.222724838,1.202915415
0.32,0,1.224489816,1.224489816,1.204680394
0.33,0,1.226338091,1.226338091,1.206528669
0.34,0,1.228271866,1.228271866,1.208462444
0.35,0,1.230293933,1.230293933,1.210484511
0.36,0,1.232406893,1.232406893,1.212597471
0.37,0,1.234613643,1.234613643,1.214804221
0.38,0,1.236917385,1.236917385,1.217107962
0.39,0,1.23932121,1.23932121,1.219511787
0.4,0,1.241828922,1.241828922,1.222019499
0.41,0,1.244443913,1.244443913,1.224634491
0.42,0,1.247170384,1.247170384,1.227360962
0.43,0,1.250012336,1.250012336,1.230202914
0.44,0,1.252974562,1.252974562,1.233165139
0.45,0,1.256061763,1.256061763,1.236252341
0.46,0,1.259278934,1.259278934,1.239469512
0.47,0,1.262631675,1.262631675,1.242822253
0.48,0,1.266125983,1.266125983,1.246316561
0.49,0,1.26976806,1.26976806,1.249958638
0.5,0,1.273564698,1.273564698,1.253755276
0.51,0,1.277523098,1.277523098,1.257713676
0.52,0,1.28165106,1.28165106,1.261841638
0.53,0,1.285957178,1.285957178,1.266147756
0.54,0,1.290450354,1.290450354,1.270640932
0.55,0,1.295140382,1.295140382,1.27533096
0.56,0,1.300037765,1.300037765,1.280228342
0.57,0,1.305154195,1.305154195,1.285344772
0.58,0,1.310501973,1.310501973,1.290692551
0.59,0,1.316094498,1.316094498,1.295881991
0.6,0,1.32194657,1.32194657,1.301330978
0.61,0,1.328145526,1.328145526,1.307126849
0.62,0,1.334635065,1.334635065,1.313213303
0.63,0,1.341436837,1.341436837,1.31961199
0.64,0,1.348571849,1.348571849,1.326343917
0.65,0,1.356063297,1.356063297,1.33343228
0.66,0,1.363936778,1.363936778,1.340902676
0.67,0,1.372220491,1.372220491,1.348783304
0.68,0,1.380945934,1.380945934,1.357105663
0.69,0,1.390147903,1.390147903,1.365904546
0.7,0,1.399865504,1.399865504,1.375219062
