Time,Thrust (N)
0,0
0.1,7424.585
0.2,7424.829
0.3,7424.177
0.4,7423.519
0.5,7422.857
0.6,7422.189
0.7,7421.516
0.8,7420.838
0.9,7420.154
1,7419.465
1.1,7418.771
1.2,7418.071
1.3,7417.366
1.4,7416.655
1.5,7415.938
1.6,7415.216
1.7,7414.487
1.8,7413.754
1.9,7413.014
2,7412.268
2.1,7411.516
2.2,7410.758
2.3,7409.994
2.4,7409.224
2.5,7408.447
2.6,7407.664
2.7,7406.875
2.8,7406.079
2.9,7405.277
3,7404.468
3.1,7403.652
3.2,7402.83
3.3,7402
3.4,7401.164
3.5,7400.321
3.6,7399.47
3.7,7398.613
3.8,7397.748
3.9,7396.875
4,7395.996
4.1,7395.108
4.2,7394.213
4.3,7393.311
4.4,7392.4
4.5,7391.482
4.6,7390.555
4.7,7389.621
4.8,7388.678
4.9,7387.727
5,7386.767
5.1,7385.799
5.2,7384.822
5.3,7383.836
5.4,7382.842
5.5,7381.838
5.6,7380.825
5.7,7379.803
5.8,7378.772
5.9,7377.731
6,7376.68
6.1,7375.62
6.2,7374.549
6.3,7373.469
6.4,7372.378
6.5,7371.277
6.6,7370.165
6.7,7369.043
6.8,7367.91
6.9,7366.766
7,7365.61
7.1,7364.444
7.2,7363.265
7.3,7362.075
7.4,7360.873
7.5,7359.659
7.6,7358.433
7.7,7357.195
7.8,7355.943
7.9,7354.679
8,7353.401
8.1,7352.111
8.2,7350.806
8.3,7349.488
8.4,7348.156
8.5,7346.81
8.6,7345.449
8.7,7344.074
8.8,7342.683
8.9,7341.277
9,7339.856
9.1,7338.418
9.2,7336.965
9.3,7335.495
9.4,7334.008
9.5,7332.504
9.6,7330.983
9.7,7329.444
9.8,7327.887
9.9,7326.312
10,7324.717
10.1,7323.104
10.2,7321.471
10.3,7319.817
10.4,7318.144
10.5,7316.449
10.6,7314.733
10.7,7312.996
10.8,7311.236
10.9,7309.453
11,7307.647
11.1,7305.817
11.2,7303.963
11.3,7302.084
11.4,7300.18
11.5,7298.25
11.6,7296.292
11.7,7294.308
11.8,7292.295
11.9,7290.254
12,7288.183
12.1,7286.082
12.2,7283.95
12.3,7281.786
12.4,7279.589
12.5,7277.359
12.6,7275.094
12.7,7272.794
12.8,7270.457
12.9,7268.083
13,7265.671
13.1,7263.218
13.2,7260.725
13.3,7258.189
13.4,7255.611
13.5,7252.987
13.6,7250.317
13.7,7247.599
13.8,7244.832
13.9,7242.014
14,7239.144
14.1,7236.219
14.2,7233.237
14.3,7230.197
14.4,7227.097
14.5,7223.933
14.6,7220.705
14.7,7217.409
14.8,7214.042
14.9,7210.602
15,7207.086
15.1,7203.491
15.2,7199.812
15.3,7196.048
15.4,7192.193
15.5,7188.243
15.6,7184.195
15.7,7180.044
15.8,7175.784
15.9,7171.409
16,7166.915
16.1,7162.295
16.2,7157.542
16.3,7152.648
16.4,7147.606
16.5,7142.406
16.6,7137.04
16.7,7131.496
16.8,7125.764
16.9,7119.83
17,7113.681
17.1,7107.301
17.2,7100.674
17.3,7093.78
17.4,7086.597
17.5,7079.103
17.6,7071.269
17.7,7063.065
17.8,7054.456
17.9,7045.401
18,7035.854
18.1,7025.759
18.2,7015.054
18.3,7003.662
18.4,6991.493
18.5,6978.435
18.6,6964.354
18.7,6949.082
18.8,6932.405
18.9,6914.046
19,6893.639
19.1,6870.685
19.2,6844.477
19.3,6813.968
19.4,6777.512
19.5,6732.307
19.6,6691.131
19.7,6604.956
19.8,6450.289
19.9,5794.082
20,0
20.1,0
20.2,0
20.3,0
20.4,0
20.5,0
20.6,0
20.7,0
20.8,0
20.9,0
21,0
21.1,0
21.2,0
21.3,0
21.4,0
21.5,0
21.6,0
21.7,0
21.8,0
21.9,0
22,0
22.1,0
22.2,0
22.3,0
22.4,0
22.5,0
22.6,0
22.7,0
22.8,0
22.9,0
23,0
